;CD_CVM;CD_CONTA;ESCALA_MOEDA;DT_INI_EXERC;DT_FIM_EXERC;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
487;18376;3.08;MIL;2011-10-01;2011-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-50722.0;S
484;18376;3.05;MIL;2011-10-01;2011-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;283747.0;S
485;18376;3.06;MIL;2011-10-01;2011-12-31;Resultado Financeiro;-3284.0;S
483;18376;3.04;MIL;2011-10-01;2011-12-31;Despesas/Receitas Operacionais;-33112.0;S
482;18376;3.03;MIL;2011-10-01;2011-12-31;Resultado Bruto;316859.0;S
491;18376;3.99;MIL;2011-10-01;2011-12-31;Lucro por Ação - (Reais / Ação);0.0;N
486;18376;3.07;MIL;2011-10-01;2011-12-31;Resultado Antes dos Tributos sobre o Lucro;280463.0;S
481;18376;3.02;MIL;2011-10-01;2011-12-31;Custo dos Bens e/ou Serviços Vendidos;-389639.0;S
480;18376;3.01;MIL;2011-10-01;2011-12-31;Receita de Venda de Bens e/ou Serviços;706498.0;S
36;18376;3.01;MIL;2012-01-01;2012-03-31;Receita de Venda de Bens e/ou Serviços;651378.0;S
38;18376;3.03;MIL;2012-01-01;2012-03-31;Resultado Bruto;394465.0;S
39;18376;3.04;MIL;2012-01-01;2012-03-31;Despesas/Receitas Operacionais;-51650.0;S
40;18376;3.05;MIL;2012-01-01;2012-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;342815.0;S
46;18376;3.11;MIL;2012-01-01;2012-03-31;Lucro/Prejuízo Consolidado do Período;205104.0;S
41;18376;3.06;MIL;2012-01-01;2012-03-31;Resultado Financeiro;-71019.0;S
42;18376;3.07;MIL;2012-01-01;2012-03-31;Resultado Antes dos Tributos sobre o Lucro;271796.0;S
43;18376;3.08;MIL;2012-01-01;2012-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-66692.0;S
44;18376;3.09;MIL;2012-01-01;2012-03-31;Resultado Líquido das Operações Continuadas;205104.0;S
45;18376;3.10;MIL;2012-01-01;2012-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
47;18376;3.99;MIL;2012-01-01;2012-03-31;Lucro por Ação - (Reais / Ação);0.0;N
37;18376;3.02;MIL;2012-01-01;2012-03-31;Custo dos Bens e/ou Serviços Vendidos;-256913.0;S
48;18376;3.01;MIL;2012-04-01;2012-06-30;Receita de Venda de Bens e/ou Serviços;659424.0;S
59;18376;3.99;MIL;2012-04-01;2012-06-30;Lucro por Ação - (Reais / Ação);0.0;N
57;18376;3.10;MIL;2012-04-01;2012-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
56;18376;3.09;MIL;2012-04-01;2012-06-30;Resultado Líquido das Operações Continuadas;201173.0;S
55;18376;3.08;MIL;2012-04-01;2012-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-65595.0;S
54;18376;3.07;MIL;2012-04-01;2012-06-30;Resultado Antes dos Tributos sobre o Lucro;266768.0;S
53;18376;3.06;MIL;2012-04-01;2012-06-30;Resultado Financeiro;-68183.0;S
52;18376;3.05;MIL;2012-04-01;2012-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;334951.0;S
51;18376;3.04;MIL;2012-04-01;2012-06-30;Despesas/Receitas Operacionais;-46861.0;S
50;18376;3.03;MIL;2012-04-01;2012-06-30;Resultado Bruto;381812.0;S
49;18376;3.02;MIL;2012-04-01;2012-06-30;Custo dos Bens e/ou Serviços Vendidos;-277612.0;S
58;18376;3.11;MIL;2012-04-01;2012-06-30;Lucro/Prejuízo Consolidado do Período;201173.0;S
60;18376;3.01;MIL;2012-07-01;2012-09-30;Receita de Venda de Bens e/ou Serviços;806094.0;S
61;18376;3.02;MIL;2012-07-01;2012-09-30;Custo dos Bens e/ou Serviços Vendidos;-314806.0;S
62;18376;3.03;MIL;2012-07-01;2012-09-30;Resultado Bruto;491288.0;S
63;18376;3.04;MIL;2012-07-01;2012-09-30;Despesas/Receitas Operacionais;-39367.0;S
64;18376;3.05;MIL;2012-07-01;2012-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;451921.0;S
65;18376;3.06;MIL;2012-07-01;2012-09-30;Resultado Financeiro;-62879.0;S
66;18376;3.07;MIL;2012-07-01;2012-09-30;Resultado Antes dos Tributos sobre o Lucro;389042.0;S
67;18376;3.08;MIL;2012-07-01;2012-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;-147712.0;S
68;18376;3.09;MIL;2012-07-01;2012-09-30;Resultado Líquido das Operações Continuadas;241330.0;S
69;18376;3.10;MIL;2012-07-01;2012-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
70;18376;3.11;MIL;2012-07-01;2012-09-30;Lucro/Prejuízo Consolidado do Período;241330.0;S
71;18376;3.99;MIL;2012-07-01;2012-09-30;Lucro por Ação - (Reais / Ação);0.0;N
518;18376;3.03;MIL;2012-10-01;2012-12-31;Resultado Bruto;300859.0;S
525;18376;3.10;MIL;2012-10-01;2012-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
524;18376;3.09;MIL;2012-10-01;2012-12-31;Resultado Líquido das Operações Continuadas;195881.0;S
523;18376;3.08;MIL;2012-10-01;2012-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-103225.0;S
517;18376;3.02;MIL;2012-10-01;2012-12-31;Custo dos Bens e/ou Serviços Vendidos;-401233.0;S
527;18376;3.99;MIL;2012-10-01;2012-12-31;Lucro por Ação - (Reais / Ação);0.0;N
521;18376;3.06;MIL;2012-10-01;2012-12-31;Resultado Financeiro;-9335.0;S
520;18376;3.05;MIL;2012-10-01;2012-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;308441.0;S
519;18376;3.04;MIL;2012-10-01;2012-12-31;Despesas/Receitas Operacionais;7582.0;S
526;18376;3.11;MIL;2012-10-01;2012-12-31;Lucro/Prejuízo Consolidado do Período;195881.0;S
516;18376;3.01;MIL;2012-10-01;2012-12-31;Receita de Venda de Bens e/ou Serviços;702092.0;S
522;18376;3.07;MIL;2012-10-01;2012-12-31;Resultado Antes dos Tributos sobre o Lucro;299106.0;S
74;18376;3.03;MIL;2013-01-01;2013-03-31;Resultado Bruto;57840.0;S
72;18376;3.01;MIL;2013-01-01;2013-03-31;Receita de Venda de Bens e/ou Serviços;200818.0;S
75;18376;3.04;MIL;2013-01-01;2013-03-31;Despesas/Receitas Operacionais;-10198.0;S
76;18376;3.05;MIL;2013-01-01;2013-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;47642.0;S
77;18376;3.06;MIL;2013-01-01;2013-03-31;Resultado Financeiro;39030.0;S
78;18376;3.07;MIL;2013-01-01;2013-03-31;Resultado Antes dos Tributos sobre o Lucro;86672.0;S
79;18376;3.08;MIL;2013-01-01;2013-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-15650.0;S
80;18376;3.09;MIL;2013-01-01;2013-03-31;Resultado Líquido das Operações Continuadas;71022.0;S
81;18376;3.10;MIL;2013-01-01;2013-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
82;18376;3.11;MIL;2013-01-01;2013-03-31;Lucro/Prejuízo Consolidado do Período;71022.0;S
83;18376;3.99;MIL;2013-01-01;2013-03-31;Lucro por Ação - (Reais / Ação);0.0;N
73;18376;3.02;MIL;2013-01-01;2013-03-31;Custo dos Bens e/ou Serviços Vendidos;-142978.0;S
95;18376;3.99;MIL;2013-04-01;2013-06-30;Lucro por Ação - (Reais / Ação);0.0;N
84;18376;3.01;MIL;2013-04-01;2013-06-30;Receita de Venda de Bens e/ou Serviços;205340.0;S
86;18376;3.03;MIL;2013-04-01;2013-06-30;Resultado Bruto;75847.0;S
87;18376;3.04;MIL;2013-04-01;2013-06-30;Despesas/Receitas Operacionais;-39403.0;S
88;18376;3.05;MIL;2013-04-01;2013-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;36444.0;S
89;18376;3.06;MIL;2013-04-01;2013-06-30;Resultado Financeiro;11890.0;S
91;18376;3.08;MIL;2013-04-01;2013-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-939.0;S
92;18376;3.09;MIL;2013-04-01;2013-06-30;Resultado Líquido das Operações Continuadas;47395.0;S
93;18376;3.10;MIL;2013-04-01;2013-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
94;18376;3.11;MIL;2013-04-01;2013-06-30;Lucro/Prejuízo Consolidado do Período;47395.0;S
85;18376;3.02;MIL;2013-04-01;2013-06-30;Custo dos Bens e/ou Serviços Vendidos;-129493.0;S
90;18376;3.07;MIL;2013-04-01;2013-06-30;Resultado Antes dos Tributos sobre o Lucro;48334.0;S
102;18376;3.07;MIL;2013-07-01;2013-09-30;Resultado Antes dos Tributos sobre o Lucro;-397819.0;S
106;18376;3.11;MIL;2013-07-01;2013-09-30;Lucro/Prejuízo Consolidado do Período;-245280.0;S
105;18376;3.10;MIL;2013-07-01;2013-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
104;18376;3.09;MIL;2013-07-01;2013-09-30;Resultado Líquido das Operações Continuadas;-245280.0;S
103;18376;3.08;MIL;2013-07-01;2013-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;152539.0;S
101;18376;3.06;MIL;2013-07-01;2013-09-30;Resultado Financeiro;13343.0;S
100;18376;3.05;MIL;2013-07-01;2013-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;-411162.0;S
99;18376;3.04;MIL;2013-07-01;2013-09-30;Despesas/Receitas Operacionais;-549725.0;S
98;18376;3.03;MIL;2013-07-01;2013-09-30;Resultado Bruto;138563.0;S
97;18376;3.02;MIL;2013-07-01;2013-09-30;Custo dos Bens e/ou Serviços Vendidos;-149480.0;S
107;18376;3.99;MIL;2013-07-01;2013-09-30;Lucro por Ação - (Reais / Ação);0.0;N
96;18376;3.01;MIL;2013-07-01;2013-09-30;Receita de Venda de Bens e/ou Serviços;288043.0;S
561;18376;3.10;MIL;2013-10-01;2013-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
560;18376;3.09;MIL;2013-10-01;2013-12-31;Resultado Líquido das Operações Continuadas;158784.0;S
559;18376;3.08;MIL;2013-10-01;2013-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;33239.0;S
558;18376;3.07;MIL;2013-10-01;2013-12-31;Resultado Antes dos Tributos sobre o Lucro;125545.0;S
553;18376;3.02;MIL;2013-10-01;2013-12-31;Custo dos Bens e/ou Serviços Vendidos;-141983.0;S
556;18376;3.05;MIL;2013-10-01;2013-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;117590.0;S
555;18376;3.04;MIL;2013-10-01;2013-12-31;Despesas/Receitas Operacionais;-27394.0;S
554;18376;3.03;MIL;2013-10-01;2013-12-31;Resultado Bruto;144984.0;S
552;18376;3.01;MIL;2013-10-01;2013-12-31;Receita de Venda de Bens e/ou Serviços;286967.0;S
562;18376;3.11;MIL;2013-10-01;2013-12-31;Lucro/Prejuízo Consolidado do Período;158784.0;S
557;18376;3.06;MIL;2013-10-01;2013-12-31;Resultado Financeiro;7955.0;S
563;18376;3.99;MIL;2013-10-01;2013-12-31;Lucro por Ação - (Reais / Ação);0.0;N
119;18376;3.99;MIL;2014-01-01;2014-03-31;Lucro por Ação - (Reais / Ação);0.0;N
117;18376;3.10;MIL;2014-01-01;2014-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
108;18376;3.01;MIL;2014-01-01;2014-03-31;Receita de Venda de Bens e/ou Serviços;225287.0;S
109;18376;3.02;MIL;2014-01-01;2014-03-31;Custo dos Bens e/ou Serviços Vendidos;-104636.0;S
110;18376;3.03;MIL;2014-01-01;2014-03-31;Resultado Bruto;120651.0;S
111;18376;3.04;MIL;2014-01-01;2014-03-31;Despesas/Receitas Operacionais;-25175.0;S
112;18376;3.05;MIL;2014-01-01;2014-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;95476.0;S
113;18376;3.06;MIL;2014-01-01;2014-03-31;Resultado Financeiro;9859.0;S
114;18376;3.07;MIL;2014-01-01;2014-03-31;Resultado Antes dos Tributos sobre o Lucro;105335.0;S
115;18376;3.08;MIL;2014-01-01;2014-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-19793.0;S
116;18376;3.09;MIL;2014-01-01;2014-03-31;Resultado Líquido das Operações Continuadas;85542.0;S
118;18376;3.11;MIL;2014-01-01;2014-03-31;Lucro/Prejuízo Consolidado do Período;85542.0;S
128;18376;3.09;MIL;2014-04-01;2014-06-30;Resultado Líquido das Operações Continuadas;90111.0;S
127;18376;3.08;MIL;2014-04-01;2014-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-25961.0;S
125;18376;3.06;MIL;2014-04-01;2014-06-30;Resultado Financeiro;6662.0;S
124;18376;3.05;MIL;2014-04-01;2014-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;109410.0;S
131;18376;3.99;MIL;2014-04-01;2014-06-30;Lucro por Ação - (Reais / Ação);0.0;N
122;18376;3.03;MIL;2014-04-01;2014-06-30;Resultado Bruto;104358.0;S
121;18376;3.02;MIL;2014-04-01;2014-06-30;Custo dos Bens e/ou Serviços Vendidos;-114016.0;S
120;18376;3.01;MIL;2014-04-01;2014-06-30;Receita de Venda de Bens e/ou Serviços;218374.0;S
129;18376;3.10;MIL;2014-04-01;2014-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
123;18376;3.04;MIL;2014-04-01;2014-06-30;Despesas/Receitas Operacionais;5052.0;S
130;18376;3.11;MIL;2014-04-01;2014-06-30;Lucro/Prejuízo Consolidado do Período;90111.0;S
126;18376;3.07;MIL;2014-04-01;2014-06-30;Resultado Antes dos Tributos sobre o Lucro;116072.0;S
143;18376;3.99;MIL;2014-07-01;2014-09-30;Lucro por Ação - (Reais / Ação);0.0;N
132;18376;3.01;MIL;2014-07-01;2014-09-30;Receita de Venda de Bens e/ou Serviços;353739.0;S
142;18376;3.11;MIL;2014-07-01;2014-09-30;Lucro/Prejuízo Consolidado do Período;140173.0;S
141;18376;3.10;MIL;2014-07-01;2014-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
139;18376;3.08;MIL;2014-07-01;2014-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;-21272.0;S
138;18376;3.07;MIL;2014-07-01;2014-09-30;Resultado Antes dos Tributos sobre o Lucro;161445.0;S
140;18376;3.09;MIL;2014-07-01;2014-09-30;Resultado Líquido das Operações Continuadas;140173.0;S
136;18376;3.05;MIL;2014-07-01;2014-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;162378.0;S
135;18376;3.04;MIL;2014-07-01;2014-09-30;Despesas/Receitas Operacionais;-52819.0;S
134;18376;3.03;MIL;2014-07-01;2014-09-30;Resultado Bruto;215197.0;S
133;18376;3.02;MIL;2014-07-01;2014-09-30;Custo dos Bens e/ou Serviços Vendidos;-138542.0;S
137;18376;3.06;MIL;2014-07-01;2014-09-30;Resultado Financeiro;-933.0;S
594;18376;3.07;MIL;2014-10-01;2014-12-31;Resultado Antes dos Tributos sobre o Lucro;77355.0;S
597;18376;3.10;MIL;2014-10-01;2014-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
596;18376;3.09;MIL;2014-10-01;2014-12-31;Resultado Líquido das Operações Continuadas;63906.0;S
595;18376;3.08;MIL;2014-10-01;2014-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-13449.0;S
593;18376;3.06;MIL;2014-10-01;2014-12-31;Resultado Financeiro;-3697.0;S
599;18376;3.99;MIL;2014-10-01;2014-12-31;Lucro por Ação - (Reais / Ação);0.0;N
591;18376;3.04;MIL;2014-10-01;2014-12-31;Despesas/Receitas Operacionais;-39912.0;S
590;18376;3.03;MIL;2014-10-01;2014-12-31;Resultado Bruto;120964.0;S
589;18376;3.02;MIL;2014-10-01;2014-12-31;Custo dos Bens e/ou Serviços Vendidos;-184424.0;S
588;18376;3.01;MIL;2014-10-01;2014-12-31;Receita de Venda de Bens e/ou Serviços;305388.0;S
592;18376;3.05;MIL;2014-10-01;2014-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;81052.0;S
598;18376;3.11;MIL;2014-10-01;2014-12-31;Lucro/Prejuízo Consolidado do Período;63906.0;S
149;18376;3.06;MIL;2015-01-01;2015-03-31;Resultado Financeiro;6490.0;S
146;18376;3.03;MIL;2015-01-01;2015-03-31;Resultado Bruto;137394.0;S
144;18376;3.01;MIL;2015-01-01;2015-03-31;Receita de Venda de Bens e/ou Serviços;253646.0;S
155;18376;3.99;MIL;2015-01-01;2015-03-31;Lucro por Ação - (Reais / Ação);0.0;N
154;18376;3.11;MIL;2015-01-01;2015-03-31;Lucro/Prejuízo Consolidado do Período;86592.0;S
153;18376;3.10;MIL;2015-01-01;2015-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
147;18376;3.04;MIL;2015-01-01;2015-03-31;Despesas/Receitas Operacionais;-36331.0;S
151;18376;3.08;MIL;2015-01-01;2015-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-20961.0;S
150;18376;3.07;MIL;2015-01-01;2015-03-31;Resultado Antes dos Tributos sobre o Lucro;107553.0;S
145;18376;3.02;MIL;2015-01-01;2015-03-31;Custo dos Bens e/ou Serviços Vendidos;-116252.0;S
148;18376;3.05;MIL;2015-01-01;2015-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;101063.0;S
152;18376;3.09;MIL;2015-01-01;2015-03-31;Resultado Líquido das Operações Continuadas;86592.0;S
156;18376;3.01;MIL;2015-04-01;2015-06-30;Receita de Venda de Bens e/ou Serviços;279041.0;S
167;18376;3.99;MIL;2015-04-01;2015-06-30;Lucro por Ação - (Reais / Ação);0.0;N
158;18376;3.03;MIL;2015-04-01;2015-06-30;Resultado Bruto;137730.0;S
159;18376;3.04;MIL;2015-04-01;2015-06-30;Despesas/Receitas Operacionais;-34788.0;S
160;18376;3.05;MIL;2015-04-01;2015-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;102942.0;S
162;18376;3.07;MIL;2015-04-01;2015-06-30;Resultado Antes dos Tributos sobre o Lucro;98867.0;S
163;18376;3.08;MIL;2015-04-01;2015-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-18971.0;S
164;18376;3.09;MIL;2015-04-01;2015-06-30;Resultado Líquido das Operações Continuadas;79896.0;S
165;18376;3.10;MIL;2015-04-01;2015-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
166;18376;3.11;MIL;2015-04-01;2015-06-30;Lucro/Prejuízo Consolidado do Período;79896.0;S
157;18376;3.02;MIL;2015-04-01;2015-06-30;Custo dos Bens e/ou Serviços Vendidos;-141311.0;S
161;18376;3.06;MIL;2015-04-01;2015-06-30;Resultado Financeiro;-4075.0;S
170;18376;3.03;MIL;2015-07-01;2015-09-30;Resultado Bruto;283261.0;S
169;18376;3.02;MIL;2015-07-01;2015-09-30;Custo dos Bens e/ou Serviços Vendidos;-173917.0;S
179;18376;3.99;MIL;2015-07-01;2015-09-30;Lucro por Ação - (Reais / Ação);0.0;N
178;18376;3.11;MIL;2015-07-01;2015-09-30;Lucro/Prejuízo Consolidado do Período;276252.0;S
177;18376;3.10;MIL;2015-07-01;2015-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
176;18376;3.09;MIL;2015-07-01;2015-09-30;Resultado Líquido das Operações Continuadas;276252.0;S
168;18376;3.01;MIL;2015-07-01;2015-09-30;Receita de Venda de Bens e/ou Serviços;457178.0;S
174;18376;3.07;MIL;2015-07-01;2015-09-30;Resultado Antes dos Tributos sobre o Lucro;325692.0;S
173;18376;3.06;MIL;2015-07-01;2015-09-30;Resultado Financeiro;-7984.0;S
172;18376;3.05;MIL;2015-07-01;2015-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;333676.0;S
171;18376;3.04;MIL;2015-07-01;2015-09-30;Despesas/Receitas Operacionais;50415.0;S
175;18376;3.08;MIL;2015-07-01;2015-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;-49440.0;S
625;18376;3.02;MIL;2015-10-01;2015-12-31;Custo dos Bens e/ou Serviços Vendidos;-143846.0;S
626;18376;3.03;MIL;2015-10-01;2015-12-31;Resultado Bruto;153419.0;S
627;18376;3.04;MIL;2015-10-01;2015-12-31;Despesas/Receitas Operacionais;-77046.0;S
628;18376;3.05;MIL;2015-10-01;2015-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;76373.0;S
629;18376;3.06;MIL;2015-10-01;2015-12-31;Resultado Financeiro;1097.0;S
630;18376;3.07;MIL;2015-10-01;2015-12-31;Resultado Antes dos Tributos sobre o Lucro;77470.0;S
631;18376;3.08;MIL;2015-10-01;2015-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-3024.0;S
632;18376;3.09;MIL;2015-10-01;2015-12-31;Resultado Líquido das Operações Continuadas;74446.0;S
633;18376;3.10;MIL;2015-10-01;2015-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
624;18376;3.01;MIL;2015-10-01;2015-12-31;Receita de Venda de Bens e/ou Serviços;297265.0;S
635;18376;3.99;MIL;2015-10-01;2015-12-31;Lucro por Ação - (Reais / Ação);0.0;N
634;18376;3.11;MIL;2015-10-01;2015-12-31;Lucro/Prejuízo Consolidado do Período;74446.0;S
191;18376;3.99;MIL;2016-01-01;2016-03-31;Lucro por Ação - (Reais / Ação);0.0;N
180;18376;3.01;MIL;2016-01-01;2016-03-31;Receita de Venda de Bens e/ou Serviços;269512.0;S
181;18376;3.02;MIL;2016-01-01;2016-03-31;Custo dos Bens e/ou Serviços Vendidos;-103678.0;S
182;18376;3.03;MIL;2016-01-01;2016-03-31;Resultado Bruto;165834.0;S
183;18376;3.04;MIL;2016-01-01;2016-03-31;Despesas/Receitas Operacionais;-17088.0;S
184;18376;3.05;MIL;2016-01-01;2016-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;148746.0;S
185;18376;3.06;MIL;2016-01-01;2016-03-31;Resultado Financeiro;-25157.0;S
186;18376;3.07;MIL;2016-01-01;2016-03-31;Resultado Antes dos Tributos sobre o Lucro;123589.0;S
187;18376;3.08;MIL;2016-01-01;2016-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-25350.0;S
188;18376;3.09;MIL;2016-01-01;2016-03-31;Resultado Líquido das Operações Continuadas;98239.0;S
189;18376;3.10;MIL;2016-01-01;2016-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
190;18376;3.11;MIL;2016-01-01;2016-03-31;Lucro/Prejuízo Consolidado do Período;98239.0;S
197;18376;3.06;MIL;2016-04-01;2016-06-30;Resultado Financeiro;-28898.0;S
200;18376;3.09;MIL;2016-04-01;2016-06-30;Resultado Líquido das Operações Continuadas;107860.0;S
192;18376;3.01;MIL;2016-04-01;2016-06-30;Receita de Venda de Bens e/ou Serviços;286978.0;S
193;18376;3.02;MIL;2016-04-01;2016-06-30;Custo dos Bens e/ou Serviços Vendidos;-112255.0;S
194;18376;3.03;MIL;2016-04-01;2016-06-30;Resultado Bruto;174723.0;S
195;18376;3.04;MIL;2016-04-01;2016-06-30;Despesas/Receitas Operacionais;-3212.0;S
196;18376;3.05;MIL;2016-04-01;2016-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;171511.0;S
198;18376;3.07;MIL;2016-04-01;2016-06-30;Resultado Antes dos Tributos sobre o Lucro;142613.0;S
199;18376;3.08;MIL;2016-04-01;2016-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-34753.0;S
201;18376;3.10;MIL;2016-04-01;2016-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
