Data;Valor
2015-05-01;30.202,54
2015-06-01;30.253,31
2015-07-01;29.605,90
2015-08-01;25.839,78
2015-09-01;25.775,84
2015-10-01;26.711,21
2015-11-01;25.242,99
2015-12-01;24.803,21
2016-01-01;24.033,84
2016-02-01;24.618,12
2016-03-01;27.859,68
2016-04-01;28.667,19
2016-05-01;27.039,62
2016-06-01;30.786,94
2016-07-01;36.797,87
2016-08-01;37.048,17
2016-09-01;36.307,19
2016-10-01;38.503,88
2016-11-01;34.789,92
2016-12-01;36.108,16
2017-01-01;38.661,59
2017-02-01;40.518,88
2017-03-01;39.971,64
2017-04-01;39.201,52
2017-05-01;37.832,98
2017-06-01;38.095,18
2017-07-01;39.621,29
2017-08-01;41.184,50
2017-09-01;41.305,79
2017-10-01;40.010,30
2017-11-01;38.901,51
2017-12-01;39.732,33
2018-01-01;40.582,98
2018-02-01;41.965,88
2018-03-01;41.445,06
2018-04-01;43.820,67
2018-05-01;40.116,27
2018-06-01;38.562,41
2018-07-01;40.684,00
2018-08-01;39.715,86
2018-09-01;39.350,87
2018-10-01;45.595,48
2018-11-01;47.257,39
2018-12-01;49.266,22
2019-01-01;55.793,07
2019-02-01;55.826,46
2019-03-01;57.449,27
2019-04-01;58.734,74
2019-05-01;61.954,74
2019-06-01;63.830,97
2019-07-01;66.282,51
2019-08-01;67.856,73
2019-09-01;68.121,98
2019-10-01;67.949,19
2019-11-01;69.397,56
2019-12-01;76.627,21
2020-01-01;78.308,77
2020-02-01;75.555,55
2020-03-01;57.650,79
2020-04-01;61.335,14
2020-05-01;66.370,28
2020-06-01;70.159,54
2020-07-01;76.523,66
2020-08-01;71.966,61
2020-09-01;68.569,31
2020-10-01;69.951,35
2020-11-01;77.283,13
2020-12-01;82.845,94
2021-01-01;78.922,76
2021-02-01;74.396,16
2021-03-01;80.913,07
2021-04-01;80.122,10
2021-05-01;83.618,99
2021-06-01;80.452,18
2021-07-01;78.147,84
2021-08-01;79.946,19
2021-09-01;78.295,96
2021-10-01;74.371,37
2021-11-01;75.885,32
2021-12-01;76.305,03
2022-01-01;78.324,28
2022-02-01;78.061,42
2022-03-01;85.040,32
2022-04-01;83.185,41
2022-05-01;82.865,39
2022-06-01;78.786,86
2022-07-01;81.253,39
2022-08-01;82.251,05
2022-09-01;78.488,14
2022-10-01;83.670,05
2022-11-01;80.766,48
2022-12-01;78.679,40
2023-01-01;78.411,71
2023-02-01;73.453,93
2023-03-01;74.827,05
2023-04-01;79.882,48
2023-05-01;83.118,81
2023-06-01;91.089,66
2023-07-01;90.249,67
2023-08-01;85.111,33
2023-09-01;85.443,10
2023-10-01;80.531,63
2023-11-01;88.965,89
2023-12-01;94.956,92
2024-01-01;90.840,84
2024-02-01;91.201,24
2024-03-01;88.654,31
2024-04-01;85.294,00
2024-05-01;87.311,19
2024-06-01;88.289,36
